摩尔坎妹女权题材新片取消院线上映 直接上流媒	2020年08月20日 14:50	  新浪娱乐讯 朱丽安·摩尔、艾丽西亚·维坎德主演美国女权运动先锋格洛丽亚·斯泰纳姆的传记片《格洛丽亚在路上》取消院线上映,转为流媒体,将于9月30日在北美地区的亚马逊上线。该片今年初在圣丹斯电影节首映,原定9月25日上映。<sep>  摩尔饰演中年斯泰纳姆,维坎德饰演20-40岁的斯泰纳姆,露露·威尔逊(《利器》《安娜贝尔2》)饰演青少年时期的斯泰纳姆,加奈儿·梦奈(《月光男孩》《隐藏人物》)饰演民权活动家Dorothy Pitman Hughes,她和斯泰纳姆联合创办了Ms。 Magazine,贝特·迈德尔(《夏威夷》《歌声泪痕》)饰演社会活动家、律师、政治家贝拉·艾布札格,她和斯泰纳姆、雪莉·奇泽姆、贝蒂·弗里丹等女权主义者一起创立了全国妇女政治核心小组,后来成为了美国众议员。<sep>  朱丽·泰莫(《黑泽明的道路》《弗里达》)执导,托尼提名剧作家Sarah Ruhl(《在隔壁房间》《新世界》)操刀剧本,基于斯泰纳姆的同名自传,讲述她如何从记者、活动家成为平权、女权运动的先驱者。<sep>  斯泰纳姆在60年代后期、70年代早期担任美国女权运动的领导者的发言人,她的语录被收录进《美国名人录》,她是《纽约》杂志的专栏作家,以及Ms。 magazine的联合创办者。<sep>  1969年,斯泰纳姆发表了名为《黑权主义之后,妇女的解放运动》(After Black Power, Women‘s Liberation)的文章,使她在全国享有“女权领导者”的声誉。<sep>  2005年,斯泰纳姆和简·方达、作家兼活动家罗宾·摩根共同成立了非营利的妇女媒体中心(Women‘s Media Center)组织,致力于帮助女性在媒体界获得关注,拥有一席之地和强大实力。<sep>  近年来斯泰纳姆在全球担任活动组织者和演讲者,作为平权问题的媒体发言人。<sep>  (孟卿)<sep>(责编:小万)
《降世神通》真人版主创退出 称创作不被网飞支持	2020年08月20日 14:34	  新浪娱乐讯 知名动画《降世神通:最后的气宗》正在Netflix开发真人版剧集。但此项目近日遭遇挫折:动画版主创Michael Dante DiMartino和Bryan Konietzko本已签约来打造真人版,而如今两人同时宣布退出,不再参与该项目,因为他们的创作想法得不到支持。<sep>  DiMartino在个人网站发布了一封“以沉重的心情写下”的信,透露两人是在6月做出退出决定。此前他们作为执行制作人和运作人签约了真人版,开发该项目已经两年了。此时离开,是他职业生涯中最困难的一个决定,但他觉得是必须的,“这是为了我的快乐和创作尊严”。<sep>  他透露签约时,网飞表示会尊重、支持他们的想法和创意决定,但“不幸的是,事态发展并不如我们所希望的那样”。<sep>  他表示知道世事无常,在自己职业生涯别的时期都努力像剧中的气和族一样,尽量随遇而安,见势而动,“但就连气和族也知道何时该出手止损、重新开始”。<sep>  DiMartino进行了谨慎的思考和长期的挣扎,评估人生想要的东西究竟是什么,最后他决定:如果不能控制这部剧的创作方向,至少还能把控自己对此的反馈,“所以,我决定离开”。<sep>  他也表示这部真人剧集依然有做好的潜力,观众可能会喜欢,但即便如此,也绝对不是他和Konietzko当初想做的作品。他还称这不代表他彻底离开了《降世神通》宇宙,“这些故事和角色对我很重要”。<sep>  最后DiMartino引用爱龙皇叔的智慧发言:“有时人生就像走在一条黑暗的通道里,路的尽头不是总能看到光。但一直走下去,你就能达到更好的地方。”<sep>  Konietzko在ins发文,同样表示这可能是他做过的最艰难的抉择,但“我认为无疑是正确的选择”。称两年前签约时,Netflix非常公开地承诺会支持他们的想法。但虽然此后他得以跟一些很优秀的人合作,其中既有网飞的人,也有他们的小型开发团队里的人,但总的来说,Konietzko认为网飞对该项目的整体把控,创造的是一个负面、缺乏支持的环境。<sep>  “我要说清楚:这不是‘我们没能为所欲为’这么简单,Mike(DiMartino)和我都是懂得合作的人,并不是一定要所有的主意都得我们来出,只要是我们觉得符合《降世神通》的精神和尊严的想法,我们都很乐意接受。”<sep>  然而,Konietzko表示:如今的情况让他感觉“我们已经不可能有意义地去引导这部剧的方向了”,只能非常失望地退出。他也称现在留在该项目的仍有一些很棒的人,希望他们仍然有机会为该剧献上自己的才能,也许依然能做出动画的粉丝和新的观众群体喜欢的作品。最后他感谢了粉丝支持,自认为很幸运,承诺不会离开《降世神通》宇宙,将继续以自己和搭档想要的方式去讲故事,会全心投入那些让他感觉充实、给予他信任和尊重的项目。<sep>  在两人发声后,Netflix也发布声明,表示对Michael Dante DiMartino、Bryan Konietzko和他们打造的《降世神通》系列故事怀有“完全的尊敬和欣赏”,虽然两人选择了离开,但网飞方对该项目的创作团队和他们的改编很有自信。<sep>  (孟卿)<sep>(责编:小万)
《八佰》点映票房1.8亿破纪录 观影人次达451万	2020年08月20日 12:17	  新浪娱乐讯 据猫眼数据,《八佰》点映票房破1.8亿,打破《西游记女儿国》1.79亿(点映1天,场次11.12万)的点映票房,创造中国电影市场点映票房最高纪录。<sep>  截止到点映纪录节点,《八佰》点映场次13.36万,观影人次451万。今天也是《八佰》点映的最后一天,明天(8月21日)起该片将正式上映。<sep>(责编:小万)
2020最美表演再曝海报:罗晋关晓彤金晨神情各异	2020年08月20日 11:49	  新浪娱乐讯 由新浪娱乐重磅策划的2020年《最美表演》于今日公开新一批演员阵容海报,展现出三位演员——罗晋、关晓彤、金晨的百变姿态。海报中,罗晋身着深棕色长袖衬衫双手插兜而立,目视前方神情严肃,身后背景似霓虹似火焰,关晓彤波浪卷发搭配长款白色衬衫,肆意潇洒之势跃然眼前,金晨则身着袖子挽于上臂的蓝色衬衫,扎起低马尾眼波流转笑靥如花。<sep>  《最美表演》举办至今,联合多位优秀演员与导演为观众呈现了数个精彩演绎,2020年《最美表演》以“蓄力向上”为主题,在这一充满复杂情感的特殊年份,观众将在演员对短片中不同人物和故事的演绎里,感受到一种努力克服困难、突破自我,积极向上的精神风貌。在当下的社会生活中,“蓄力向上”是面对困难努力克服、面对目标坚定奋斗、面对理想不断向前,不管顺境或逆境,都要努力寻找自己的心向往之。<sep>  据悉,《最美表演》已公布两批六位演员阵容,接下来还会有哪些演员参与其中,又会诠释怎样打动人心引起共鸣的角色和故事,敬请持续关注! (林怡文/文)<sep>(责编:小万)
演员谢园离世!曾被说“没演技”却拿奖到手软	2020年08月19日 15:46	  中新网客户端北京8月19日电(任思雨)据媒体从演员梁天方面证实,电影演员、原北京电影学院教师谢园先生,于2020年8月18日突发心脏病,经多方抢救无效,不幸逝世,终年61岁。<sep>  遵照谢园嘱托,家中不设灵堂,不举行遗体告别仪式和追悼会,不召开任何形式的追思会。<sep>  谢园1959年出生于北京,1981年出演影片《新兵马强》出道,代表作包括《孩子王》《棋王》《大喘气》《寡妇村》《疯狂的代价》《上海一家人》《天生胆小》等,曾荣获中国电影金鸡奖、大众电影百花奖、中国电视剧金鹰奖、飞天奖等多个表演奖项。<sep>  好友葛优、梁天,演员刘晓庆、张静初、孙茜、左小青、邢佳栋、关凌纷纷发文悼念。<sep>  <sep>  1959年6月17日,谢园出生于北京。1978年,谢园考入北京电影学院。当时的他对电影、艺术完全没什么概念,过去在宣传队的时候会玩几下乐器,考电影学院,面试的老师把谢园激发起来,他把会学的领导人的口音都学了一遍。<sep>  在“78级表演系”,与他同班的还有张铁林、张丰毅、方舒、沈丹萍等知名演员。毕业时,老师给谢园八个字的评价,“形象一般,没有演技”,让他印象深刻。<sep>  “班里那么多形象比我好的同学,周里京和张丰毅,我这样的只能演叛徒。但是通过学习我认识到小人物身上有大命运,以喜剧形象示人的演员骨子里都爱人民。所以虽然我演的有些戏被同学打击说‘自行轻贱’,但是我信念坚定,价值观正确。”<sep>  1981年,谢园出演由导演于清执导的影片《新兵马强》出道。之后,又在滕文骥执导的影片《棋王》中饰演外号“棋呆子”的北京青年王一生。<sep>  现实生活中的谢园也是一名超级棋迷,著名棋手常昊九段曾为他颁发围棋业余4段证书。“我和谢园老师认识了很多年,他一直特别喜欢下棋,水平还可以,对围棋也很热心,这次颁发段位证书对他也是一种鼓励。”<sep>  《棋王》里的角色为谢园带来第九届中国电影金鸡奖最佳男主角奖的奖杯。<sep>  尽管毕业时被评价“没有演技”,但年纪轻轻的谢园,已经凭借优秀的作品拿下“金鸡”“金鹰”“飞天”“百花”等众多电影电视界的最高奖项:<sep>  1991年凭《疯狂的代价》获得第三届中国电影表演艺术学会金凤凰奖;1992年凭《上海一家人》获得第十届中国电视金鹰奖最佳男配角奖、第十二届中国电视剧飞天奖最佳男配角奖;1995年以《天生胆小》获得第十八届大众电影百花奖最佳男配角奖。<sep>  谢园曾说,“我可能一生都不会再碰到像陈凯歌这样优秀的导演了”。谈起那些年自己拍摄的电影,他对陈凯歌执导的《孩子王》有着深厚的情感:<sep>  “我很有幸地拍了一部最纯粹的电影《孩子王》,尽管后来我也拍了很多糟糕的电影。但是我这样一个演员拥有过那样一部纯粹的电影,《孩子王》非常的深情和深邃。<sep>  这是一部作者的电影,没有任何其他的企图,不为了消费者不为了商业。甚至电影的拍摄要求都可以抛弃,我们的表达不需要任何束缚。我们只要无限的忠诚,这是纯粹的内核和依托。<sep>  当年我们的真诚是一扎就疼的,我、陈凯歌导演和摄影师顾长卫的眼神都是纯粹的,没有任何杂念。后来我一个人又回到了拍摄地,坐在云南的那个角落,马帮的铃声传来,人生在冥冥中的那样一刻凝固了。而现在无论我们怎样针灸都无法触到那个穴位了。”<sep>  <sep>  抛开演员的身份,谢园被人熟知的另一个身份是教师。从北京电影学院毕业后,谢园留校任教。<sep>  他说,自己留校其实是“被迫”的:“我被分配到八一电影制片厂,但是我眼睛近视,人家不要我,又给我退回学院了。我特别想穿上那身军装,心里特别难受。其实留校是被迫的,不过也挺好。”<sep>  北京电影学院任教期间,谢园带出过左小青、邢佳栋等知名演员。谢园去世后,他的学生也纷纷发文悼念:<sep>  左小青说,“谢老师学识渊博,为人和善,在剧组给大家带来很多的快乐,他给我们上课时的样子现还记忆犹新呢,唉,天妒英才,无奈!我们愿谢园老师在天堂一如既往的快乐。”<sep>  邢佳栋表示,“恩师谢园突然离世,震惊和悲痛如巨浪压顶,虽知生命无常,但心里还是希望有趣的人,正直的人,多多在人间驻留,否则这个世界多么寂寥,多么荒谬......愿恩师在天堂继续上他的电影课,继续笑谈人间虚幻事,透露人生真性情......学生佳栋挽泣”。<sep>  身为表演系教师的谢园,曾写文章撰述对表演的看法,在当老师的许多年里,曾有媒体向他提问,是否还有重返银幕的想法,他说:<sep>  “这个梦想始终有,但是我们在北京电影学院多少年来研究电影,我们太知道电影是什么了,所以今天我们对于过去的很多作品,对于现实的很多作品,甚至对于未来将出现的一些作品实质上来讲是很不满意的。因为我们研究的太多了,我们从卢米埃尔兄弟发明电影到今天已经有一百多年的历史了,我们看过的影片太多了,我们讲课备课的讲的滚瓜烂熟的电影太多了,所以很难说有很满意的电影剧本说现在抓起一个就随便去拍了。”<sep>  近年来,复出荧幕的谢园曾在《古董局中局之鉴墨寻瓷》《宸汐缘》《天下无诈》《红色》等多部影视剧中参演角色。<sep>  <sep>  生活中的谢园,崇尚质朴、简单的生活,曾有人目睹,成名后的谢园也时常在北京的夜市蹲在地上吃卤煮。<sep>  他说:“作为五十年代的产品,我们必须做到我们是很本真的,是很自然的,是愿意接地气的,走到哪儿吃到哪儿,很随便,穿的衣服也要很随便,特别是内心世界里头不能够脱离老百姓。”<sep>  今年5月底时,关凌还曾分享谢园、梁天等一起聚会时合唱《心的祈祷》的视频,老艺术家们一起唱歌相当尽兴愉快。关凌当时配文“观看男团演唱会,老男孩们太投入了!#我爱我家 今天是家人在一起”。<sep>  谢园与葛优、梁天是多年好友,共同合作过多部影视作品,他们也被称为中国内地“喜剧三剑客”。<sep>  上世纪九十年代,三人共同创办北京好来西影视发展有限公司,在近年来的采访中,谢园也多次提起三个人相互打趣的往事,谢园曾说,自己经常与葛优、梁天一起聊天、喝酒,由于各自都很忙,所以凑在一起时都着急说话,“但是谢老师开讲都不说了。都觉得自己说的那些都是鸡毛蒜皮的。谢老师一开讲,有的还要做笔记,我就拦着别别别,算了”。<sep>  在谢园去世后,葛优发声表示:“观众会永远记住谢园对中国电影、电视剧所作出的努力和贡献。”<sep>  梁天则说道,“所有和谢园合作过的业内人士,都会怀念他曾经给我们带来过的快乐和感动,愿他的灵魂,面朝大海,春暖花开...从此天堂不再寂寞。”(完)<sep>(责编:kita)
日本票房:《我是大哥大!!》票房突破40亿日元	2020年08月19日 14:56	  日本周末票房排行榜2020年8月15日—8月16日<sep>  上周末(8月15日至16日)日本电影票房榜中,8月15日上映的《Fate/stay night [Heaven‘s Feel] III。 spring song》周末两天时间动员观众27万人次,票房收入4.75亿日元,夺得冠军宝座。该片是2004年发行的视觉小说游戏《Fate/stay night》中故事之一《Heaven’s Feel》制作的三部曲系列最终章,讲述围绕“圣杯”展开的“圣杯之战”,以及为守护间桐樱而战的卫宫士郎的故事。与2019年上映最终票房16.6亿日元的第二章《Fate/stay night [Heaven’s Feel] II。 lost butterfly》同期票房收益比为96.8%,尽管因新冠疫情影响从3月28日推迟至八月上映,但成绩还是不错。<sep>  上周上映的新片还有排名第五的《<sep>》,上映三天时间,动员观众19.5万人次,票房收入2.48亿日元。影片根据渡边航曾推出过动画、舞台剧、小说、日剧等各种版本的人气漫画改编,由King & Prince永濑廉主演,执导《<sep>》、《<sep>》等作品的三木康一郎担任导演,参演演员还有伊藤健太郎、桥本环内、坂东龙汰等,讲述喜欢动漫的高中生坂道加入自行车竞技部后把所有热情都投入到自行车比赛中的故事。<sep>  滨边美波、北村匠海继2017年上映最终票房35.2亿日元的《<sep>》再次合作,与福本莉子、赤楚卫二等合演的电影《<sep>》首映排名第六,这部青春爱情片改编自咲坂伊绪的漫画,讲述四个高中生恋爱的故事,由爱情片名家三木孝浩担任导演。<sep>  前一周榜单前三排名分别下降一位,其中《哆啦A梦》长篇剧场版第40部作品《<sep>》周末两天时间动员观众23万人次,票房收入2.86亿日元,累计动员观众超过138万人次,票房突破16亿日元。根据自西森博之人气漫画改编,由福田雄一执导贺来贤人主演,上映后连续三周在票房榜蝉联冠军的《<sep>》周末两天时间动员观众18.5万人次,票房收入2.38亿日元,到上周日上映31天时间累计动员观众322万人次,票房收入突破40亿日元,成为2020年上映的日本电影中第一部票房超过40亿日元的作品。长泽雅美主演的《<sep>》上映四周,周末两天时间动员观众11.9万人次,票房收入1.66亿日元,累计动员观众191万人次,票房突破26亿日元。<sep>  榜单最后两部作品也是首次登榜,其一是《东映电影祭2020》,包括《<sep>》、《<sep>》等四部作品,还有2010年上映此次再上映IMAX版和4D版的经典影片《<sep>》。<sep>  本周将上映的作品有菅田将晖与小松菜奈合作,根据经典知名歌曲改编的电影《糸》,迪士尼与皮克斯联合打造的电影《<sep>》,约翰尼·德普主演的《教授》,以及坂口拓主演山崎贤人、斋藤洋介出演,讲述宫本武藏与吉冈一门决斗的动作时代剧《狂武藏》等。(小乔)<sep>(责编:maiko)
导演张艺谋发文悼念谢园:愿你在天堂仍有笑声陪伴	2020年08月19日 13:16	  新浪娱乐讯 演员谢园于8月18日突发心脏病去世,享年61岁。曾和谢园合作《一个和八个》的张艺谋导演发文悼念:“惊悉老同学谢园病逝,沉痛哀悼,愿你在天堂仍有笑声陪伴。”<sep>  随后,他又发文回忆与谢园当年相处点滴:“我和谢园的第一次合作是《一个和八个》,那是第五代的第一部电影。导演张军钊、美术何群都先走了,现在又是谢园,令人唏嘘。谢园是一个快乐的人,也随时会把快乐带给别人。最难忘的是有一次看他和何群一起模仿我和陈凯歌、张军钊、肖风以及何群本人,形神生动、夸张搞笑,模仿刚刚开始,所有人已笑成一团!至今,这幅画面仿佛还在眼前。”<sep>(责编:小5)
《花木兰》韩国9月10日上映 乐童李秀贤唱主题曲	2020年08月19日 10:12	  新浪娱乐讯 迪士尼电影《花木兰》方面公开韩国版OST官方歌手为乐童音乐家成员李秀贤。<sep>  19日,电影《花木兰》方面公开了为电影增添感动的OST《Reflection》的韩国版官方歌手为<sep>李秀贤,吸引了人们的视线。14日公开歌手声音片段视频后,就有许多粉丝猜测是不是李秀贤,今日终于揭开谜底。《Reflection》是3首片尾曲之一,是1998年上映的迪斯尼动画片《花木兰》中最受欢迎的歌曲之一。时隔22年真人版电影将加入雄壮的管弦乐版本,为电影粉丝们带来无限的享受。<sep>  另外,电影《花木兰》将于9月10日在韩国上映。bnt新闻/供稿 薄文/文 迪士尼/图<sep>(责编:肉圆)
导演陈凯歌发文悼念谢园:他是天生的演员	2020年08月19日 11:20	  新浪娱乐讯 演员谢园于8月18日突发心脏病去世,享年61岁。曾和谢园合作《孩子王》的陈凯歌导演发文悼念:<sep>  “谢园是一个带给人快乐的人,认识他的人没有不喜欢的。我对他说,你在人前表演,得到最大快乐的是你自己,所以他是天生的演员。<sep>  多少年前我们一起在云南拍‘孩子王’,为了演活这个知青,他两三个月蓬着头,脸也不洗,穿着一件旧衣服不换,过年大家都回了北京,他也不走,为了活在人物里,他一个人守在景地,等大家回来。我最喜欢一张‘孩子王’的法国海报,谢园从竹屋的窗里向外看出去,不知是在看什么,眼睛里满是柔情。<sep>  我们今天也这样看看你,谢园,我们的老同学!”<sep>(责编:小万)
北京环球度假区明年开放 一期工程进入设备调试	2020年08月19日 09:07	  记者昨天(18日)从2020年中国服务贸易交易会旅游服务专题板块新闻通气会上了解到,北京环球度假区将于明年正式开放,目前,一期工程进入主题装饰及设备调试安装阶段。<sep>  北京环球度假区项目位于北京市通州区,包括北京环球影城主题公园、北京环球城市大道以及两家独具特色的度假酒店。该项目由世界级游乐专家精心设计,汇聚了东西方文化元素和智能创新科技手段,真实还原超人气的电影形象和场景,为大家带来多感官沉浸式体验。<sep>(责编:kita)
